0,-0.0264789,0.851856,0.0482443,-0.0658361,0.333419,-0.070171,-0.0152383,-2.21445,0,2.10762,25.0051
0.0610215,-0.0301847,0.869677,0.043651,-0.0625212,0.282475,-0.070124,-0.0168408,-2.21418,0.0259273,2.08236,25.5367
0.066234,-0.0310794,0.873009,0.0427315,-0.0650954,0.272929,-0.0705053,-0.0171168,-2.21416,0.0259273,2.07805,25.572
0.0995367,-0.0335339,0.879191,0.0414441,-0.0861733,0.254902,-0.0576966,-0.017616,-2.21405,0.0259273,2.06964,25.6808
0.132774,-0.0369756,0.887067,0.0394589,-0.0889537,0.216972,-0.0517103,-0.0183301,-2.21382,0.0259273,2.05892,25.8044
0.166046,-0.0389329,0.892004,0.0379485,-0.0815405,0.197889,-0.0553435,-0.0188562,-2.21391,0.0259273,2.05079,25.7571
0.199257,-0.0427338,0.897695,0.03525,-0.0946988,0.163037,-0.0758078,-0.0193393,-2.21392,0.0259273,2.04303,25.7386
0.232529,-0.0474552,0.902377,0.0334568,-0.119769,0.130358,-0.0462572,-0.0198092,-2.2138,0.0259273,2.03545,25.6694
0.265729,-0.0503557,0.903973,0.0342144,-0.10315,0.0928884,-0.0125906,-0.020132,-2.21369,0.0259273,2.03353,25.4755
0.299925,-0.0448577,0.906226,0.0287747,0.108533,0.062181,-0.121093,-0.0219115,-2.21365,0.0259273,2.03025,25.238
0.33254,-0.0335385,0.907904,0.0211128,0.255589,0.049794,-0.182836,-0.0244441,-2.21352,0.0259273,2.02928,25.0597
0.365761,-0.0257563,0.910295,0.0164384,0.295861,0.0827797,-0.193481,-0.0261388,-2.21341,0.0259273,2.02494,24.9026
0.399996,-0.012632,0.916045,0.00849761,0.355128,0.151841,-0.230539,-0.0288612,-2.21335,0.0259273,2.01498,24.6836
0.433296,-0.00190289,0.919658,0.00351901,0.398978,0.145381,-0.21249,-0.0309136,-2.21317,0.0259273,2.00436,24.4429
0.465651,0.0206668,0.92622,-0.00769179,0.565116,0.166198,-0.283491,-0.0349074,-2.21329,0.0259273,1.99675,24.2479
0.499884,0.0474554,0.931532,-0.0198819,0.676234,0.14334,-0.307916,-0.0394537,-2.2134,0.0259273,1.98942,24.0078
0.53316,0.0659846,0.935542,-0.028846,0.706862,0.151428,-0.33603,-0.0423891,-2.21369,0.0259273,1.98366,23.7819
0.566473,0.0919801,0.940271,-0.0403305,0.690543,0.126516,-0.311398,-0.0465102,-2.21416,0.0259273,1.97924,23.4516
